
nk	Name	English Name	Country	Population	Remark
403	Rostov-na-Donu	Rostov-on-Don	Russia	1,260,000	
403	Xiangtan	Xiangtan	China	1,260,000	
407	Al-Madīnah	Medina	Saudi Arabia	1,250,000	
407	Edmonton	Edmonton	Canada	1,250,000	
407	Putian	Putian	China	1,250,000	
407	Wuhu	Wuhu	China	1,250,000	
407	Xining	Xining	China	1,250,000	
407	Xinxiang	Xinxiang	China	1,250,000	
407	Yogyakarta	Yogyakarta	Indonesia	1,250,000	
414	Lille	Lille	France	1,240,000	incl. Kortrijk (Belgium)
414	Querétaro	Querétaro	Mexico	1,240,000	
414	Rānchi	Ranchi	India	1,240,000	
417	Huaibei	Huaibei	China	1,230,000	
417	Zürich	Zurich	Switzerland	1,230,000	
419	Barquisimeto	Barquisimeto	Venezuela	1,220,000	
419	Cochabamba	Cochabamba	Bolivia	1,220,000	
419	Joinville	Joinville	Brazil	1,220,000	
419	Mannheim	Mannheim	Germany	1,220,000	
423	Gwalior	Gwalior	India	1,210,000	
423	Stockton	Stockton	United States of America	1,210,000	incl. Modesto
423	Ulaanbaatar	Ulan Bator	Mongolia	1,210,000	
426	Ndjamena	Ndjamena	Chad	1,200,000	
426	Oran	Oran	Algeria	1,200,000	
426	Sevilla	Sevilla	Spain	1,200,000	
426	Xingtai	Xingtai	China	1,200,000	
426	Yancheng	Yancheng	China	1,200,000	
431	Ahvāz	Ahvaz	Iran	1,190,000	
431	Kigali	Kigali	Rwanda	1,190,000	
431	Surakarta	Surakarta	Indonesia	1,190,000	
434	Fès	Fes	Morocco	1,180,000	
434	Helsinki	Helsinki	Finland	1,180,000	
434	Kazan'	Kazan	Russia	1,180,000	
434	Porto	Porto	Portugal	1,180,000	
434	Tai'an	Tai'an	China	1,180,000	
434	Yerevan	Yerevan	Armenia	1,180,000	
440	Port Elizabeth	Port Elizabeth	South Africa	1,170,000	
440	Ulsan	Ulsan	Korea (South)	1,170,000	
440	Zhangjiakou	Zhangjiakou	China	1,170,000	
443	João Pessoa	João Pessoa	Brazil	1,160,000	
443	Memphis	Memphis	United States of America	1,160,000	
443	Naha	Naha	Japan	1,160,000	
443	Omsk	Omsk	Russia	1,160,000	
447	Guilin	Guilin	China	1,150,000	
447	Vereeniging	Vereeniging	South Africa	1,150,000	incl. Evaton
449	Bucaramanga	Bucaramanga	Colombia	1,140,000	
449	Konya	Konya	Turkey	1,140,000	
449	San Luis Potosí	San Luis Potosí	Mexico	1,140,000	
452	Düsseldorf	Dusseldorf	Germany	1,130,000	
452	Himeji	Himeji	Japan	1,130,000	
452	Kota	Kota	India	1,130,000	
452	Mandalay	Mandalay	Myanmar	1,130,000	
452	Melbourne	Melbourne	United States of America	1,130,000	incl. Palm Bay, Port St. Lucie
457	Changwon	Changwon	Korea (South)	1,120,000	
457	Kumamoto	Kumamoto	Japan	1,120,000	
457	Maiduguri	Maiduguri	Nigeria	1,120,000	
457	Mianyang	Mianyang	China	1,120,000	
457	Qom	Qom	Iran	1,120,000	
457	Thiruvananthapuram	Trivandrum	India	1,120,000	
463	Bengbu	Bengbu	China	1,110,000	
463	Florianópolis	Florianópolis	Brazil	1,110,000	
463	Hamamatsu	Hamamatsu	Japan	1,110,000	
463	Niamey	Niamey	Niger	1,110,000	
463	Odėsa	Odessa	Ukraine	1,110,000	
463	Southampton	Southampton	Great Britain	1,110,000	
463	Valparaíso	Valparaíso	Chile	1,110,000	
463	Yichang	Yichang	China	1,110,000	
463	Zhanjiang	Zhanjiang	China	1,110,000	
472	Quetta	Quetta	Pakistan	1,100,000	
472	Tiruchirāppalli	Tiruchirappalli	India	1,100,000	
472	Tiruppūr	Tirupur	India	1,100,000	
475	Arbīl	Erbil	Iraq	1,090,000	
475	Aşgabat	Ashgabat	Turkmenistan	1,090,000	
475	Greensboro	Greensboro	United States of America	1,090,000	
475	Pekanbaru	Pekanbaru	Indonesia	1,090,000	
475	Tegucigalpa	Tegucigalpa	Honduras	1,090,000	
480	Antalya	Antalya	Turkey	1,080,000	
480	Bareilly	Bareilly	India	1,080,000	
480	Batam	Batam	Indonesia	1,080,000	
480	Qingyuan	Qingyuan	China	1,080,000	
480	Saratov	Saratov	Russia	1,080,000	
480	Ufa	Ufa	Russia	1,080,000	
486	Cangnan	Cangnan	China	1,070,000	
486	Khulna	Khulna	Bangladesh	1,070,000	
486	Mysore	Mysore	India	1,070,000	
486	Perm'	Perm	Russia	1,070,000	
486	Zunyi	Zunyi	China	1,070,000	
491	Mérida	Mérida	Mexico	1,060,000	
492	Changshu	Changshu	China	1,050,000	
492	Guwāhāti	Gauhati	India	1,050,000	
492	Kirkūk	Kirkuk	Iraq	1,050,000	
492	Kozhikode	Calicut	India	1,050,000	
492	Krasnojarsk	Krasnoyarsk	Russia	1,050,000	
492	Ma'anshan	Ma'anshan	China	1,050,000	
492	Mombasa	Mombasa	Kenya	1,050,000	
492	Oklahoma City	Oklahoma City	United States of America	1,050,000	
492	Qinhuangdao	Qinhuangdao	China	1,050,000	
492	Zhuzhou	Zhuzhou	China	1,050,000	
502	Aguascalientes	Aguascalientes	Mexico	1,040,000	
502	Bandar Lampung	Bandar Lampung	Indonesia	1,040,000	
502	Benxi	Benxi	China	1,040,000	
502	Dongying	Dongying	China	1,040,000	
502	Marrakech	Marrakesh	Morocco	1,040,000	
502	Serang	Serang	Indonesia	1,040,000	
508	El Paso	El Paso	United States of America	1,030,000	incl. Las Cruces
508	Louisville	Louisville	United States of America	1,030,000	
508	Mexicali	Mexicali	Mexico	1,030,000	
